T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
17153, 597, 803, 11, 88270, -119210, -52290
17173, 585, 800, 23, 85540, -65030, -61950
17193, 564, 792, 35, 78610, -6720, -62930
17213, 549, 765, 30, 89880, 29120, -43470
17233, 530, 721, 23, 111650, 50400, -8610
17253, 498, 666, 21, 128030, 77210, 20300
17273, 470, 627, 19, 138250, 112000, 31780
17293, 454, 605, 12, 146440, 146580, 26390
17313, 441, 594, 8, 149450, 182070, 17010
17333, 425, 584, 12, 144620, 222250, 13510
17353, 413, 583, 26, 138180, 260960, 15890
17373, 418, 600, 33, 136780, 289520, 23310
17393, 453, 631, 25, 146020, 298410, 34020
17413, 512, 695, 5, 158830, 297920, 29750
17433, 567, 801, -5, 157570, 316680, -10220
17453, 630, 953, 4, 143850, 356860, -77350
17473, 688, 1111, 33, 131810, 400260, -133630
17493, 745, 1208, 34, 138460, 417480, -146650
17513, 760, 1207, 24, 165480, 399700, -123410
17533, 714, 1099, 25, 184800, 381850, -98350
17553, 652, 1015, 57, 181720, 385070, -101360
17573, 651, 1050, 74, 183540, 381150, -151620
17593, 736, 1199, 57, 219940, 333550, -213220
17613, 837, 1363, 44, 258090, 274120, -240380
17633, 912, 1498, 65, 257320, 252140, -225890
17653, 909, 1499, 84, 235970, 251230, -200410
17673, 818, 1344, 101, 229250, 229180, -181790
17693, 738, 1185, 105, 236740, 180950, -159460
17713, 716, 1108, 86, 246890, 116760, -131530
17733, 727, 1099, 78, 246890, 54530, -110810
17753, 733, 1130, 104, 210630, 28210, -106890
17773, 743, 1195, 126, 148960, 26600, -126840
17793, 720, 1173, 122, 108920, -5040, -150080
17813, 667, 1055, 104, 95130, -75880, -133350
17833, 600, 920, 87, 73570, -147140, -82180
17853, 540, 805, 84, 24220, -186760, -35980
17873, 484, 720, 84, -38710, -202790, -18060
17893, 444, 683, 85, -99190, -216160, -31570
17913, 408, 666, 89, -154070, -236530, -62510
17933, 373, 646, 87, -202580, -267610, -86660
17953, 352, 637, 70, -239820, -314230, -89040
17973, 351, 650, 47, -262500, -376390, -75110
17993, 359, 671, 26, -279440, -437080, -54460
18013, 354, 671, 19, -302960, -476560, -28560
18033, 341, 655, 21, -333270, -493080, 5810
18053, 351, 656, 17, -355670, -505120, 38010
18073, 399, 714, 9, -353710, -533400, 44100
18093, 481, 855, 8, -333480, -568260, 9590
18113, 573, 1037, 9, -310590, -592830, -55090
18133, 666, 1239, 0, -286020, -612430, -122220
18153, 732, 1345, -30, -252210, -639660, -168980
18173, 759, 1276, -61, -213290, -669480, -173180
18193, 769, 1189, -62, -192150, -666610, -127890
18213, 757, 1157, -25, -210840, -599340, -104510
18233, 741, 1192, 19, -255850, -490210, -154350
18253, 797, 1274, -3, -276010, -406070, -234780
18273, 887, 1398, -23, -238210, -388780, -283570
18293, 964, 1544, -5, -202230, -369670, -300020
18313, 1037, 1637, -19, -189980, -248010, -257600
18333, 1055, 1553, -64, -172480, -189700, -175630
18353, 898, 1261, -14, -183400, -83510, -131460
18373, 786, 1116, 11, -174650, 6510, -175560
18393, 781, 1138, 1, -117250, 37450, -233310
18413, 793, 1169, -5, -63840, 69090, -231140
18433, 779, 1133, 9, -25830, 120050, -172410
18453, 778, 1106, -13, 26320, 157290, -127680
18473, 741, 1056, -30, 77420, 198870, -129360
18493, 649, 968, -15, 101570, 273210, -146790
18513, 551, 855, 14, 131600, 336070, -135030
18533, 496, 774, 5, 194110, 347340, -94500
18553, 445, 674, -14, 257740, 342860, -40530
18573, 393, 600, -20, 289730, 365820, -840
18593, 341, 544, -12, 301770, 405930, 15750
18613, 310, 522, -8, 316610, 435120, 24150
18633, 292, 502, -5, 343700, 439320, 37800
18653, 288, 490, -22, 371770, 433720, 60760
18673, 270, 472, -31, 385070, 442820, 83650
18693, 254, 451, -34, 379750, 472570, 97720
18713, 247, 439, -30, 367360, 504490, 94780
18733, 248, 432, -18, 355180, 528150, 71890
18753, 273, 467, -11, 350910, 537880, 25900
18773, 341, 573, -14, 362040, 530110, -38430
18793, 452, 754, -33, 383320, 515270, -108360
18813, 597, 1030, -39, 396830, 515900, -170940
18833, 767, 1379, -25, 396550, 539000, -213990
18853, 898, 1643, -28, 398650, 558250, -228130
18873, 815, 1511, -7, 410410, 556710, -199780
18893, 644, 1203, 48, 414260, 552860, -120400
18913, 562, 1020, 93, 429730, 515060, -34650
18933, 621, 1024, 69, 477960, 413840, 1260
18953, 758, 1211, 37, 526820, 303030, -24010
18973, 980, 1666, 21, 532560, 247170, -110880
18993, 1204, 1997, -3, 507780, 230020, -202160
19013, 1066, 1918, 50, 459900, 233170, -138040
19033, 798, 1403, 158, 360850, 278250, 101920
19053, 745, 1168, 162, 301420, 254590, 267470
19073, 802, 1177, 96, 342510, 113960, 251300
19093, 865, 1312, 67, 369250, -5390, 120820
19113, 883, 1446, 101, 294700, -23730, -4340
19133, 832, 1436, 157, 170030, 280, 1540
19153, 770, 1271, 159, 82810, -29050, 138460
19173, 699, 1038, 124, 55720, -129500, 252350
19193, 636, 926, 85, 50330, -239190, 212380
19213, 574, 892, 72, 19390, -308630, 78050
19233, 475, 808, 88, -60270, -327390, -4060
19253, 379, 691, 101, -159110, -333620, 19950
19273, 315, 593, 76, -233240, -376600, 86310
19293, 307, 551, 27, -270200, -459690, 114310
19313, 329, 579, -12, -297150, -535500, 70770
19333, 339, 640, -15, -350630, -557830, -23800
19353, 305, 683, 11, -435680, -531370, -112280
19373, 237, 683, 28, -518210, -510440, -140350
19393, 166, 644, 12, -559510, -549010, -97510
19413, 164, 628, -44, -546630, -657090, -20790
19433, 236, 678, -98, -507360, -777980, 30730
19453, 345, 811, -104, -485940, -840630, 23100
19473, 404, 949, -62, -499030, -829430, -33250
19493, 441, 1072, -32, -514990, -799330, -88410
19513, 530, 1200, -85, -487480, -822920, -108920
19533, 711, 1387, -185, -412860, -903630, -120820
19553, 801, 1521, -165, -360010, -944650, -186620
19573, 675, 1373, -64, -414610, -848330, -281750
19593, 611, 1189, -95, -497630, -715540, -282310
19613, 721, 1191, -172, -479850, -699930, -207340
19633, 868, 1348, -153, -455490, -681170, -186340
19653, 970, 1625, -26, -522340, -532770, -241500
19673, 1158, 1997, -64, -577920, -378280, -304710
19693, 1200, 1992, -161, -488460, -381710, -307510
19713, 970, 1491, -132, -382830, -393750, -161210
19733, 877, 1234, -113, -394520, -263130, 46340
19753, 853, 1179, -68, -415520, -122780, 119140
19773, 816, 1146, -3, -404250, -16520, 62510
19793, 860, 1234, -23, -338030, 38360, -17500
19813, 937, 1390, -82, -211610, 26670, -81550
19833, 864, 1306, -88, -112560, 44660, -74690
19853, 701, 986, -43, -101500, 161980, 52010
19873, 584, 729, -8, -108080, 288610, 181160
19893, 518, 669, -11, -57400, 338380, 150500
19913, 468, 676, -21, 39200, 335860, 11130
19933, 417, 628, -21, 122220, 340830, -76650
19953, 350, 538, -10, 166180, 369950, -51520
19973, 297, 448, 3, 185430, 406420, 29400
19993, 267, 398, 15, 202440, 430920, 89390
20013, 258, 393, 19, 235200, 430220, 98140
20033, 258, 409, 17, 280840, 410270, 74060
20053, 263, 430, 21, 324660, 384160, 48020
20073, 264, 440, 24, 351750, 364420, 44030
20093, 282, 455, 14, 361830, 349510, 68810
20113, 311, 470, -12, 360990, 337820, 112000
20133, 353, 501, -49, 325290, 383250, 175000
20153, 399, 574, -60, 291970, 457870, 149520
20173, 507, 795, -38, 274820, 533820, 77000
20193, 764, 1318, -50, 302750, 566510, -6230
20213, 1095, 1894, -152, 352730, 571200, -20580
20233, 1036, 1770, -200, 334040, 643090, 29610
20253, 673, 1268, -118, 241220, 785890, 6650
20273, 475, 982, -38, 209300, 844690, -53760
20293, 447, 889, 10, 257880, 786240, -71680
20313, 564, 991, -6, 349020, 662760, -92120
20333, 803, 1331, -60, 425180, 558880, -161000
20353, 1080, 1934, -90, 444640, 532630, -296310
20373, 1142, 1997, -87, 440580, 550620, -414610
20393, 880, 1720, -10, 444570, 561540, -333410
20413, 694, 1291, 62, 437360, 559720, -98910
20433, 633, 1091, 105, 447860, 489790, 49420
20453, 705, 1134, 70, 490770, 360360, 41020
20473, 809, 1336, 48, 526260, 236040, -64540
20493, 971, 1613, -4, 515410, 154910, -161420
20513, 921, 1534, 43, 417480, 168280, -122990
20533, 749, 1259, 129, 269990, 233380, 32480
20553, 610, 998, 189, 178780, 210910, 151130
20573, 543, 815, 164, 175140, 72170, 185290
20593, 512, 686, 96, 197120, -90160, 158690
20613, 478, 632, 69, 160930, -173110, 93590
20633, 448, 609, 72, 62650, -172760, 25480
20653, 396, 590, 107, -55930, -144200, -11550
20673, 334, 557, 131, -160930, -140420, -7910
20693, 290, 523, 123, -228340, -200410, 21770
20713, 267, 493, 82, -264600, -305900, 45990
20733, 280, 499, 29, -293510, -410200, 41370
20753, 319, 552, -1, -338380, -470260, 770
20773, 353, 646, -4, -407610, -473970, -57540
20793, 356, 740, 15, -482930, -453460, -90510
20813, 311, 796, 45, -532980, -459130, -57470
20833, 304, 811, 21, -527170, -540050, 39760
20853, 427, 894, -54, -464030, -683340, 136150
20873, 663, 1192, -107, -392630, -796250, 138460
20893, 810, 1563, -45, -383390, -799400, 33110
20913, 765, 1652, 14, -415450, -746200, -57400
20933, 696, 1348, -98, -362460, -794500, -9380
20953, 709, 1132, -181, -235480, -902440, 79380
20973, 675, 1059, -110, -213570, -856520, 19810
20993, 634, 1105, -1, -297850, -685720, -128800
21013, 740, 1305, -8, -330750, -591430, -233940
21033, 1009, 1694, -93, -273490, -619640, -274330
21053, 1129, 1922, -84, -230650, -627550, -318990
21073, 1025, 1701, -83, -249690, -546490, -345800
21093, 912, 1379, -98, -269360, -462770, -277900
21113, 800, 1115, -58, -299600, -359170, -159110
21133, 713, 953, 8, -339290, -228200, -95480
21153, 759, 1054, -8, -315140, -160090, -132720
21173, 869, 1281, -39, -225680, -166390, -248850
21193, 888, 1343, -30, -172200, -132720, -312060
21213, 789, 1159, 2, -165970, -39690, -227360
21233, 706, 941, -18, -137760, 30240, -61950
21253, 612, 745, -23, -78260, 60900, 37310
21273, 491, 581, 5, -46970, 120470, 31850
21293, 417, 514, 28, -19880, 183890, -28630
21313, 383, 504, 29, 33950, 209230, -86380
21333, 380, 511, 9, 100870, 205660, -103320
21353, 364, 491, 5, 152880, 205590, -70700
21373, 332, 461, 12, 171010, 234290, -4410
21393, 297, 417, 31, 171640, 273070, 63980
21413, 284, 389, 39, 179550, 293230, 114450
21433, 307, 400, 26, 207060, 283850, 137410
21453, 340, 442, 5, 245070, 263830, 132930
21473, 378, 508, -9, 274610, 263550, 113120
21493, 442, 612, -17, 287560, 292670, 91630
21513, 549, 815, -46, 289940, 337610, 77490
21533, 706, 1073, -82, 286510, 390180, 76510
21553, 866, 1401, -85, 268380, 466060, 79170
21573, 941, 1646, -77, 236600, 563430, 54040
21593, 819, 1453, -89, 225400, 631890, 16520
21613, 635, 1096, -77, 236600, 661290, 48650
21633, 522, 884, -25, 225750, 695240, 95410
21653, 556, 947, -14, 214060, 709660, 39270
21673, 696, 1179, -30, 248710, 663740, -86240
21693, 889, 1530, -40, 297360, 604590, -183890
21713, 1043, 1868, -50, 322980, 579950, -244930
21733, 943, 1687, -35, 344750, 566930, -283710
21753, 729, 1327, 59, 349020, 564480, -247240
21773, 670, 1189, 78, 333270, 569730, -169540
21793, 712, 1166, 35, 385000, 479710, -135660
21813, 731, 1170, 53, 450800, 349440, -118650
21833, 793, 1303, 70, 433300, 298270, -113540
21853, 853, 1407, 65, 391090, 268660, -149590
21873, 819, 1336, 90, 367220, 217420, -162960
21893, 714, 1146, 119, 322140, 179480, -101220
21913, 620, 941, 128, 254310, 148470, -5670
21933, 554, 773, 110, 211050, 83720, 70980
21953, 504, 674, 92, 142800, -57540, 52220
21973, 462, 640, 100, 71050, -82250, -9240
21993, 419, 620, 117, -6510, -102550, -45570
22013, 385, 594, 116, -70070, -146510, -40180
22033, 362, 565, 96, -123200, -209440, -7910
22053, 346, 539, 76, -178710, -266700, 24220
22073, 334, 527, 55, -238350, -307650, 37800
22093, 333, 538, 44, -295400, -336280, 27160
22113, 353, 585, 32, -343910, -360640, 770
22133, 378, 663, 33, -384090, -383810, -21210
22153, 403, 754, 36, -414820, -412160, -19320
22173, 425, 841, 45, -425040, -461790, 12810
22193, 479, 945, 30, -400120, -543900, 58940
22213, 595, 1095, -17, -340480, -647290, 84840
22233, 738, 1321, -47, -294560, -708330, 76930
22253, 784, 1403, -37, -290220, -703710, 65030
22273, 709, 1242, -19, -295610, -676060, 78610
22293, 634, 1048, -32, -267610, -672210, 77140
22313, 610, 963, -45, -219030, -679070, 20650
22333, 654, 1055, -41, -188090, -662060, -87640
22353, 773, 1270, -32, -178080, -626640, -185990
22373, 950, 1584, -26, -173040, -590450, -236040
22393, 1108, 1812, -70, -155890, -563710, -244440
22413, 1031, 1601, -64, -146020, -516250, -224000
22433, 861, 1264, -40, -166530, -424200, -196560
22453, 741, 1057, -13, -187600, -328510, -186130
22473, 697, 968, -4, -193690, -253960, -190050
22493, 708, 977, 7, -179690, -200620, -194670
22513, 770, 1095, 11, -145320, -163870, -214970
22533, 846, 1228, 0, -95550, -139790, -235060
22553, 864, 1234, -25, -53200, -105770, -217420
22573, 766, 1056, -18, -38290, -35840, -154700
22593, 638, 848, 5, -40670, 59360, -80500
22613, 522, 673, 30, -24710, 128730, -39060
22633, 446, 559, 33, 18760, 155820, -31080
22653, 406, 511, 24, 77560, 156100, -38780
22673, 380, 478, 12, 130620, 157570, -36890
22693, 364, 454, 3, 166950, 174090, -19950
22713, 339, 436, 4, 185640, 207690, 3360
22733, 324, 430, 8, 194390, 248850, 24710
22753, 326, 443, 7, 204260, 282240, 42700
22773, 341, 476, 2, 217140, 305200, 59150
22793, 370, 523, -3, 229740, 325150, 76090
22813, 423, 600, -13, 241710, 346920, 89110
22833, 507, 732, -23, 252420, 374290, 88900
22853, 633, 937, -48, 262850, 408450, 71680
22873, 786, 1219, -74, 268100, 454650, 36470
22893, 840, 1402, -76, 257390, 522620, -15330
22913, 757, 1327, -65, 240590, 594790, -55720
22933, 610, 1084, -38, 225890, 650790, -34370
22953, 516, 868, -2, 218400, 672000, 19530
22973, 506, 818, 13, 234990, 644980, 14140
22993, 598, 968, -1, 281470, 580020, -76160
23013, 777, 1302, -23, 336210, 511280, -198380
23033, 995, 1746, -46, 368130, 475300, -299460
23053, 1091, 1973, -43, 373100, 476350, -346710
23073, 921, 1674, 34, 358050, 500080, -297780
23093, 750, 1303, 100, 343000, 510300, -159600
23113, 726, 1163, 61, 385280, 427000, -56280
23133, 738, 1152, 38, 450520, 294070, -46760
23153, 782, 1268, 56, 455980, 221200, -101080
23173, 851, 1405, 70, 407330, 201740, -164500
23193, 853, 1395, 91, 354550, 178990, -158760
23213, 763, 1219, 127, 299880, 150430, -66710
23233, 671, 1030, 132, 242900, 110180, 35420
23253, 599, 857, 113, 209440, 35140, 90020
23273, 548, 750, 86, 188790, -50610, 88200
23293, 508, 698, 82, 149310, -110320, 41230
23313, 449, 663, 106, 74760, -128100, -15540
23333, 400, 628, 120, -14700, -132720, -39830
23353, 363, 579, 107, -87220, -167440, -20370
23373, 347, 541, 75, -136570, -237370, 19110
23393, 344, 525, 48, -177380, -311640, 42630
23413, 341, 537, 33, -228760, -356720, 30520
23433, 330, 569, 33, -293020, -370650, -7840
23453, 318, 604, 35, -356090, -374360, -42420
23473, 312, 644, 33, -402920, -393400, -44940
23493, 325, 689, 27, -428190, -438550, -11830
23513, 379, 769, 11, -430990, -506660, 36750
23533, 489, 917, -12, -411880, -586040, 69650
23553, 659, 1222, -24, -378770, -655970, 60970
23573, 758, 1474, -18, -350140, -698390, 9450
23593, 748, 1433, -29, -337890, -717430, -31010
23613, 690, 1191, -83, -312480, -745080, 8050
23633, 638, 1010, -85, -256480, -779520, 64400
23653, 607, 976, -45, -230230, -754110, 28910
23673, 669, 1104, -22, -245280, -674520, -78120
23693, 833, 1395, -22, -247030, -617890, -183960
23713, 1038, 1772, -51, -226590, -595840, -260400
23733, 1141, 1921, -86, -200480, -584220, -317730
23753, 1037, 1650, -83, -182560, -556430, -333340
23773, 886, 1293, -55, -247170, -361760, -179340
23793, 822, 1137, -26, -265020, -261100, -151480
23813, 816, 1140, -7, -248500, -192080, -199010
23833, 872, 1286, -6, -202790, -151200, -275870
23853, 920, 1392, -16, -148960, -116550, -300300
23873, 880, 1294, -23, -113400, -62160, -225820
23893, 771, 1062, -25, -93940, 10920, -100380
23913, 657, 838, -12, -80850, 89670, -23030
23933, 549, 680, 15, -58380, 155820, -27230
23953, 475, 601, 29, -3220, 182840, -76650
23973, 447, 585, 19, 72030, 179060, -119070
23993, 434, 579, 0, 135520, 177590, -119350
24013, 408, 548, -9, 166250, 205730, -75180
24033, 361, 496, -1, 167440, 262710, -10360
24053, 318, 450, 13, 165130, 316400, 48090
24073, 296, 417, 22, 180670, 339430, 87080
24093, 292, 406, 20, 214270, 334110, 105770
24113, 302, 416, 5, 253050, 321020, 107240
24133, 315, 442, -6, 283920, 320670, 100730
24153, 345, 491, -21, 303030, 337470, 92260
24173, 389, 560, -43, 309050, 370160, 84770
24193, 456, 658, -66, 297990, 424270, 74620
24213, 546, 810, -80, 271460, 501900, 46060
24233, 690, 1147, -65, 244860, 587720, -16450
24253, 870, 1556, -67, 244090, 648480, -83650
24273, 926, 1645, -83, 277410, 661780, -85960
24293, 758, 1312, -73, 292950, 674030, -32830
24313, 597, 1038, -35, 283500, 695100, -35000
24333, 544, 989, 0, 295890, 683270, -118020
24353, 630, 1147, 7, 345660, 625310, -208740
24373, 828, 1460, -13, 409220, 545230, -256550
24393, 1043, 1846, -38, 450870, 486570, -274050
24413, 1085, 1959, -25, 455000, 471380, -280140
24433, 913, 1666, 45, 434070, 477960, -233660
24453, 777, 1360, 81, 434000, 441070, -125300
24473, 750, 1218, 59, 467250, 343420, -26740
24493, 755, 1193, 66, 477540, 259770, 9660
24513, 816, 1310, 73, 445760, 216790, -24920
24533, 882, 1432, 80, 401730, 178360, -73360
24553, 871, 1412, 100, 348950, 142310, -60270
24573, 774, 1242, 122, 283430, 108570, 13860
24593, 660, 1016, 130, 216720, 64540, 103320
24613, 567, 810, 124, 165900, -560, 157850
24633, 500, 676, 108, 122640, -70700, 150010
24653, 444, 612, 104, 69930, -125370, 93310
24673, 405, 587, 106, 1750, -161700, 28700
24693, 354, 555, 107, -73080, -194670, -6160
24713, 314, 520, 95, -143920, -239050, -2450
24733, 281, 484, 69, -206220, -296800, 20510
24753, 265, 465, 43, -263620, -353780, 36400
24773, 261, 469, 20, -322000, -394520, 32060
24793, 264, 500, 11, -382200, -416990, 11130
24813, 272, 550, 10, -437920, -429660, -14700
24833, 283, 617, 10, -479430, -449400, -28770
24853, 295, 688, 17, -500290, -488040, -19530
24873, 330, 776, 17, -498610, -550760, 12040
24893, 442, 936, -12, -469420, -640080, 43680
24913, 657, 1285, -64, -412790, -741790, 37310
24933, 782, 1571, -65, -363300, -809340, -17430
24953, 727, 1469, -54, -354410, -818020, -51380
24973, 660, 1189, -108, -341320, -821030, 7070
24993, 671, 1064, -127, -286650, -840420, 65380
25013, 696, 1123, -71, -266560, -794360, 1050
25033, 755, 1320, -16, -300720, -685160, -148190
25053, 896, 1582, -40, -312130, -615790, -274120
25073, 1051, 1782, -88, -277550, -615860, -320390
25093, 1089, 1801, -88, -248360, -606200, -311640
25113, 1041, 1642, -93, -254590, -538090, -281260
25133, 946, 1392, -76, -278040, -444150, -229530
25153, 851, 1202, -31, -313110, -324520, -174300
25173, 792, 1114, 9, -333550, -205870, -154420
25193, 831, 1201, -20, -296170, -146160, -185220
25213, 881, 1279, -43, -212030, -141890, -241780
25233, 837, 1207, -31, -162540, -101290, -241360
25253, 747, 1027, -11, -157990, -6580, -153300
25273, 668, 860, -6, -140910, 77210, -45430
25293, 583, 729, 0, -92750, 123900, -8050
25313, 510, 654, 9, -37730, 161070, -38150
25333, 465, 609, 7, 17640, 192780, -85890
25353, 431, 575, -3, 72730, 215740, -101850
25373, 387, 525, -6, 116900, 241850, -72240
25393, 335, 465, 6, 142870, 280490, -18480
25413, 301, 426, 24, 157850, 323190, 32970
25433, 285, 407, 29, 181440, 345030, 63840
25453, 293, 414, 16, 222600, 334670, 74690
25473, 302, 425, -6, 268800, 311150, 78400
25493, 309, 437, -31, 303170, 301910, 83930
25513, 308, 452, -39, 317310, 323890, 93380
25533, 326, 488, -42, 313460, 374570, 99750
25553, 384, 584, -52, 305970, 431550, 93940
25573, 494, 769, -80, 303450, 480340, 36960
25593, 670, 1099, -104, 285740, 599690, 4690
25613, 877, 1546, -84, 276010, 675080, -28980
25633, 1045, 1865, -114, 314020, 699020, -59640
25653, 870, 1537, -154, 353220, 700770, -67550
25673, 615, 1156, -105, 322280, 764120, -93660
25693, 484, 992, -15, 315630, 796320, -141890
25713, 565, 1127, 0, 383740, 726530, -194950
25733, 779, 1414, -30, 483210, 607040, -215040
25753, 1085, 1947, -84, 548590, 526470, -246540
25773, 1203, 1997, -104, 560210, 511000, -313110
25793, 976, 1884, -34, 538860, 526050, -275870
25813, 736, 1461, 76, 501690, 538370, -86800
25833, 701, 1245, 73, 517160, 457590, 76300
25853, 718, 1170, 84, 539140, 352380, 137690
25873, 824, 1314, 47, 537320, 264040, 79450
25893, 904, 1488, 44, 501130, 204050, -20230
25913, 879, 1473, 73, 411460, 197890, -18340
25933, 748, 1259, 118, 291270, 210770, 95270
25953, 611, 1006, 170, 180250, 192220, 213080
25973, 530, 800, 170, 126840, 97230, 259630
25993, 486, 668, 131, 116130, -40670, 231840
26013, 462, 608, 96, 92470, -146860, 155470
26033, 434, 597, 82, 23660, -190610, 67830
26053, 382, 585, 99, -81550, -193550, 10990
26073, 311, 544, 116, -192010, -199220, 10010
26093, 247, 486, 108, -276430, -247100, 46830
26113, 223, 440, 63, -324240, -342440, 78120
26133, 239, 440, 7, -355390, -441210, 67620
26153, 275, 494, -19, -404320, -488250, 10500
26173, 297, 578, -12, -482860, -475230, -63770
26193, 293, 673, 14, -564200, -448210, -111860
26213, 285, 771, 28, -607530, -469490, -103040
26233, 302, 863, 10, -595350, -563850, -34370
26253, 398, 984, -42, -540050, -703500, 57540
26273, 630, 1292, -107, -469910, -831250, 99120
26293, 822, 1677, -124, -424970, -892920, 46060
26313, 736, 1638, -67, -427840, -876470, -17150
26333, 566, 1187, -95, -419930, -863240, 58660
26353, 606, 987, -186, -328790, -920220, 155890
26373, 659, 1059, -142, -274050, -904470, 52010
26393, 680, 1246, -12, -335720, -754530, -162890
26413, 845, 1630, -10, -372470, -652750, -307720
26433, 1175, 1997, -168, -296240, -705040, -352590
26453, 1213, 1997, -181, -226590, -751240, -344330
26473, 986, 1583, -118, -283010, -628600, -271390
26493, 852, 1264, -82, -365540, -461930, -181300
26513, 776, 1106, -43, -403900, -336630, -139020
26533, 761, 1086, -7, -396200, -252000, -154980
26553, 874, 1290, -46, -329000, -225540, -214900
26573, 971, 1475, -69, -247030, -219590, -288050
26593, 882, 1347, -33, -231210, -139370, -261450
26613, 747, 1048, -14, -233450, -29120, -101640
26633, 660, 810, -28, -184800, 24220, 53970
26653, 572, 653, -27, -121170, 56070, 73780
26673, 486, 583, 4, -85610, 119490, -7070
26693, 425, 559, 30, -55650, 185150, -97300
26713, 398, 539, 29, -840, 209300, -122710
26733, 382, 501, 8, 64260, 202370, -75880
26753, 346, 449, 9, 110040, 204680, 1750
26773, 305, 393, 28, 128240, 234150, 69860
26793, 279, 359, 42, 140560, 264110, 107660
26813, 272, 350, 48, 166250, 267260, 111580
26833, 281, 364, 38, 202440, 249270, 98420
26853, 310, 400, 17, 242690, 224630, 83370
26873, 342, 450, 1, 278180, 210980, 76930
26893, 388, 532, -11, 294070, 228340, 83090
26913, 455, 654, -26, 288540, 275240, 98000
26933, 576, 855, -37, 269010, 341040, 118860
26953, 833, 1315, -47, 247030, 415520, 131390
26973, 1116, 1875, -89, 247030, 478170, 113050
26993, 1090, 1838, -190, 287350, 507920, 74130
27013, 744, 1320, -163, 306810, 554750, 73780
27033, 503, 953, -85, 224700, 697900, 108920
27053, 447, 847, -1, 147770, 809620, 106750
27073, 573, 985, -8, 152530, 799750, 50120
27093, 812, 1311, -65, 239890, 686000, -26880
27113, 1068, 1810, -98, 319900, 591500, -108780
27133, 1148, 1997, -120, 338520, 580580, -223860
27153, 896, 1667, -65, 331450, 608090, -323400
27173, 670, 1303, 59, 308000, 655620, -290500
27193, 647, 1176, 64, 308770, 661710, -185430
27213, 687, 1119, 51, 387800, 543830, -106680
27233, 761, 1220, 31, 454580, 409080, -60340
27253, 848, 1424, 11, 470960, 319130, -112630
27273, 860, 1461, 31, 460180, 261590, -219310
27293, 733, 1250, 94, 403970, 255360, -219660
27313, 611, 1007, 140, 306180, 278040, -91700
27333, 536, 806, 146, 240310, 243460, 56770
27353, 506, 675, 107, 230230, 138180, 141960
27373, 484, 617, 76, 231140, 21000, 138530
27393, 447, 589, 79, 195930, -47110, -19530
27413, 395, 567, 108, 21000, -45780, -66990
27433, 352, 542, 118, -59010, -65870, -54880
27453, 311, 507, 118, -123340, -117950, 840
27473, 282, 454, 95, -176890, -188930, 65310
27493, 263, 415, 68, -222950, -259560, 101500
27513, 273, 405, 35, -265930, -313110, 91490
27533, 309, 450, 14, -313950, -336420, 42490
27553, 344, 533, 19, -368900, -330820, -17220
27573, 376, 653, 45, -421400, -321020, -54110
27593, 401, 790, 77, -452620, -345520, -43050
27613, 452, 938, 90, -436800, -436380, 17080
27633, 662, 1228, 4, -356300, -591990, 83300
27653, 946, 1653, -102, -262430, -724080, 89390
27673, 962, 1755, -73, -261870, -720090, 62370
27693, 701, 1314, 0, -329000, -627830, 128380
27713, 552, 919, 2, -310590, -614950, 233660
27733, 575, 839, -47, -220220, -665490, 194950
27753, 675, 1033, -47, -164010, -671020, 17570
27773, 839, 1423, -11, -165060, -621390, -162050
27793, 1075, 1903, -20, -161000, -590520, -233380
27813, 1211, 1990, -107, -101430, -612850, -177520
27833, 1031, 1528, -100, -53060, -590240, -88340
27853, 838, 1166, -56, -83580, -468440, -85260
27873, 712, 996, 1, -138180, -329980, -149450
27893, 684, 982, 26, -153230, -242130, -198310
27913, 720, 1047, 29, -110740, -219590, -216510
27933, 822, 1196, -15, -33180, -234570, -224840
27953, 903, 1288, -62, 28910, -233590, -226240
27973, 832, 1155, -44, 18480, -148260, -193900
27993, 680, 927, 4, -35280, -280, -120190
28013, 559, 733, 42, -41720, 97510, -60270
28033, 480, 611, 46, 17290, 109900, -44030
28053, 446, 556, 19, 100660, 83440, -53760
28073, 428, 524, -5, 163870, 74060, -60060
28093, 404, 494, -18, 187530, 109270, -49070
28113, 364, 462, -12, 180950, 180810, -23520
28133, 325, 435, 7, 165970, 259560, 6790
28153, 307, 430, 20, 163450, 313040, 33110
28173, 313, 442, 26, 180670, 330050, 55790
28193, 338, 467, 11, 208950, 323890, 78470
28213, 366, 501, -8, 233100, 320250, 97020
28233, 406, 548, -25, 241710, 340410, 104090
28253, 461, 621, -36, 238420, 383040, 88970
28273, 550, 773, -40, 232120, 437570, 39340
28293, 681, 1050, -48, 232400, 491330, -46550
28313, 838, 1400, -64, 243740, 536270, -140770
28333, 864, 1516, -66, 255080, 575890, -175700
28353, 711, 1227, -20, 244790, 621460, -104580
28373, 583, 976, 30, 230370, 647430, -26670
28393, 558, 930, 26, 267750, 601650, -51100
28413, 636, 1061, 7, 342230, 509320, -143500
28433, 778, 1310, 1, 395920, 436520, -226380
28453, 963, 1654, -16, 409920, 405300, -273840
28473, 1065, 1864, -7, 400680, 400890, -290640
28493, 940, 1678, 73, 373170, 416290, -246470
